id,dep_delayed_15min
0,0.08403361
1,0.11504406
2,0.055014163
3,0.23489329
4,0.18179315
5,0.11296138
6,0.12746175
7,0.25410512
8,0.18051296
9,0.26510325
10,0.25519797
11,0.2227488
12,0.104250655
13,0.2458482
14,0.11902572
15,0.24299376
16,0.10282698
17,0.27797306
18,0.37718496
19,0.08945555
20,0.1490005
21,0.065256506
22,0.24860187
23,0.17241149
24,0.3159081
25,0.29069495
26,0.08653948
27,0.06742258
28,0.34907934
29,0.21166714
30,0.1312386
31,0.26537925
32,0.054176047
33,0.3649272
34,0.32245126
35,0.2500299
36,0.28397802
37,0.1905704
38,0.12647496
39,0.26876244
40,0.1525759
41,0.3065566
42,0.268586
43,0.29658157
44,0.19939509
45,0.26519153
46,0.05154604
47,0.144278
48,0.43591863
49,0.14103465
50,0.29687122
51,0.1110565
52,0.21400653
53,0.287243
54,0.42995378
55,0.10044664
56,0.17180544
57,0.3313239
58,0.11052212
59,0.2562371
60,0.08390089
61,0.1028229
62,0.17942207
63,0.28816122
64,0.15360183
65,0.15592293
66,0.1107373
67,0.13851182
68,0.13151987
69,0.18361008
70,0.070962586
71,0.23067385
72,0.25133348
73,0.18879294
74,0.54390454
75,0.30660573
76,0.12564911
77,0.13489793
78,0.11751718
79,0.24902451
80,0.18683602
81,0.21006542
82,0.07836875
83,0.1235523
84,0.11419964
85,0.06500165
86,0.08663077
87,0.23985101
88,0.1960868
89,0.18006481
90,0.22151607
91,0.22275667
92,0.1352567
93,0.111358665
94,0.17069557
95,0.1252983
96,0.27481642
97,0.08404087
98,0.21956018
99,0.3406825
100,0.13704742
101,0.29419765
102,0.07083459
103,0.26165062
104,0.066070996
105,0.09417078
106,0.2704034
107,0.09880485
108,0.14147559
109,0.23063572
110,0.28255177
111,0.21262205
112,0.44236657
113,0.10130248
114,0.12763646
115,0.15940847
116,0.17045888
117,0.38742334
118,0.09421752
119,0.17115739
120,0.29676002
121,0.2898488
122,0.22732756
123,0.2548159
124,0.30163053
125,0.10310379
126,0.095378235
127,0.079906665
128,0.09648251
129,0.49249336
130,0.46666318
131,0.16998328
132,0.06489746
133,0.12731212
134,0.089159496
135,0.38668844
136,0.35290426
137,0.18278845
138,0.122214004
139,0.09324704
140,0.25210834
141,0.19714776
142,0.24520518
143,0.36262828
144,0.11543269
145,0.27634004
146,0.24123
147,0.28442588
148,0.12305429
149,0.41282794
150,0.35112143
151,0.30818728
152,0.11618106
153,0.19853374
154,0.25459746
155,0.18823548
156,0.3057011
157,0.23718393
158,0.2770384
159,0.08476631
160,0.07071597
161,0.33484292
162,0.47092137
163,0.1403839
164,0.13567688
165,0.090564564
166,0.11589213
167,0.09053156
168,0.26087812
169,0.40204477
170,0.17617121
171,0.21351075
172,0.19787781
173,0.29597452
174,0.33231735
175,0.3015538
176,0.15400805
177,0.063326016
178,0.28572497
179,0.2070924
180,0.06886297
181,0.14631966
182,0.28068405
183,0.49516013
184,0.19022107
185,0.28391793
186,0.2974463
187,0.39850634
188,0.19517305
189,0.31139746
190,0.34623381
191,0.20372334
192,0.15124683
193,0.13652992
194,0.2013622
195,0.16418992
196,0.10476668
197,0.12283146
198,0.20413527
199,0.37888125
200,0.166308
201,0.25525823
202,0.31706318
203,0.08070828
204,0.07991679
205,0.24194494
206,0.39308771
207,0.081753165
208,0.21693543
209,0.2336989
210,0.08550931
211,0.09150059
212,0.23715556
213,0.22817938
214,0.14765324
215,0.1332036
216,0.109527364
217,0.12449736
218,0.2038174
219,0.1566444
220,0.18289158
221,0.3140305
222,0.21576387
223,0.12523304
224,0.36599424
225,0.13391139
226,0.30572325
227,0.39152467
228,0.23314546
229,0.44523704
230,0.10960154
231,0.14917623
232,0.25233707
233,0.35771605
234,0.1569335
235,0.12680846
236,0.07493115
237,0.16523585
238,0.19625555
239,0.13310203
240,0.13152052
241,0.24143335
242,0.18804893
243,0.2459558
244,0.22345588
245,0.25698298
246,0.2145513
247,0.35695654
248,0.37787452
249,0.29498202
250,0.2833957
251,0.098864004
252,0.14314905
253,0.10272733
254,0.3558063
255,0.16550753
256,0.15698951
257,0.088914305
258,0.2476992
259,0.06668955
260,0.18810956
261,0.108757146
262,0.37577567
263,0.2447292
264,0.21443242
265,0.21039394
266,0.22393633
267,0.080490746
268,0.27234843
269,0.3359915
270,0.1378047
271,0.21573456
272,0.27501458
273,0.060559224
274,0.28377977
275,0.13504711
276,0.07001681
277,0.2626344
278,0.1286368
279,0.44158635
280,0.16323163
281,0.34633407
282,0.13244145
283,0.06837034
284,0.2794546
285,0.24817152
286,0.18643431
287,0.14015926
288,0.37679073
289,0.105526306
290,0.13974172
291,0.1719662
292,0.22362758
293,0.16610767
294,0.25628906
295,0.08083316
296,0.119494006
297,0.17177613
298,0.20419562
299,0.17222826
300,0.30723575
301,0.19783002
302,0.09825055
303,0.257857
304,0.1855043
305,0.30780613
306,0.22573802
307,0.2160758
308,0.22404791
309,0.23497944
310,0.27956283
311,0.27153105
312,0.09709835
313,0.36148915
314,0.293352
315,0.15452883
316,0.23873591
317,0.089874804
318,0.2218123
319,0.13460596
320,0.2543501
321,0.109123945
322,0.14990824
323,0.22547787
324,0.16532202
325,0.26008126
326,0.078071535
327,0.21757567
328,0.07720431
329,0.23681699
330,0.2359025
331,0.31153643
332,0.35359815
333,0.20590945
334,0.42604682
335,0.29269508
336,0.174245
337,0.09745215
338,0.43347016
339,0.13022996
340,0.13160254
341,0.31735453
342,0.1680529
343,0.24168138
344,0.26369038
345,0.44818363
346,0.08697492
347,0.17841938
348,0.13441731
349,0.17534965
350,0.16157053
351,0.11575525
352,0.331389
353,0.21247132
354,0.23240276
355,0.33835098
356,0.112694
357,0.09969513
358,0.17887585
359,0.26656356
360,0.30623654
361,0.049451552
362,0.10367332
363,0.29173693
364,0.093060434
365,0.24516918
366,0.45335948
367,0.15193659
368,0.31230226
369,0.1543682
370,0.16993512
371,0.17037407
372,0.25820446
373,0.17350674
374,0.325242
375,0.069719575
376,0.25557813
377,0.37403694
378,0.21367012
379,0.129793
380,0.48422775
381,0.2635258
382,0.112690166
383,0.20103727
384,0.16306524
385,0.36463782
386,0.18771595
387,0.07387337
388,0.12628394
389,0.07244451
390,0.26958618
391,0.0878043
392,0.16921994
393,0.063116536
394,0.1979235
395,0.3090199
396,0.06057256
397,0.08707763
398,0.068569414
399,0.059696108
400,0.1450569
401,0.10361803
402,0.1620599
403,0.056904253
404,0.07862729
405,0.07411264
406,0.3319327
407,0.1062596
408,0.23229651
409,0.37954968
410,0.13872339
411,0.06112973
412,0.27937436
413,0.19579707
414,0.35941583
415,0.21503398
416,0.28511295
417,0.2814543
418,0.13303554
419,0.3752391
420,0.21907452
421,0.09271258
422,0.06986862
423,0.08533652
424,0.31535962
425,0.21997
426,0.19931965
